ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
time,speed,bearing,velocityN,velocityE
2019-04-17T12:14:06.000,35.86,161.12,-33.93,11.60
2019-04-17T12:16:06.000,107.73,294.78,45.15,-97.81
2019-04-17T12:18:06.000,34.22,310.44,22.20,-26.04
2019-04-17T12:20:06.000,34.48,292.22,13.04,-31.92
2019-04-17T12:22:06.000,33.07,319.51,25.15,-21.47
2019-04-17T12:24:06.000,33.81,285.97,9.31,-32.51
2019-04-17T12:26:06.000,34.74,279.93,5.99,-34.22
2019-04-17T12:28:06.000,33.96,104.89,-8.72,32.82
2019-04-17T12:30:06.000,32.77,84.14,3.34,32.60
2019-04-17T12:32:06.000,35.43,33.85,29.43,19.73
2019-04-17T12:34:06.000,35.00,345.57,33.89,-8.72
2019-04-17T12:36:06.000,37.85,274.48,2.96,-37.73
2019-04-17T12:38:06.000,34.65,71.67,10.90,32.89
2019-04-17T12:40:06.000,35.86,323.99,29.01,-21.09
2019-04-17T12:42:06.000,35.17,313.49,24.21,-25.52
2019-04-17T12:44:06.000,36.56,64.76,15.59,33.06
2019-04-17T12:46:06.000,35.95,318.17,26.79,-23.97
2019-04-17T12:48:06.000,35.95,187.53,-35.64,-4.71
2019-04-17T12:50:06.000,35.60,76.60,8.25,34.63
2019-04-17T12:52:06.000,34.39,312.34,23.17,-25.42
2019-04-17T12:54:06.000,35.34,67.96,13.26,32.76
2019-04-17T12:56:06.000,37.53,63.83,16.55,33.68
2019-04-17T12:58:06.000,35.86,308.12,22.14,-28.21
2019-04-17T13:00:06.000,36.04,66.15,14.57,32.96
2019-04-17T13:02:06.000,35.34,7.00,35.08,4.31
2019-04-17T13:04:06.000,35.86,308.59,22.37,-28.03
2019-04-17T13:06:06.000,35.78,73.18,10.35,34.25
2019-04-17T13:08:06.000,36.99,2.56,36.95,1.65
2019-04-17T13:10:06.000,35.43,312.42,23.90,-26.15
2019-04-17T13:12:06.000,34.48,67.58,13.15,31.87
2019-04-17T13:14:06.000,37.25,333.80,33.42,-16.44
2019-04-17T13:16:06.000,35.95,313.80,24.88,-25.95
2019-04-17T13:18:06.000,36.81,64.23,16.00,33.15
2019-04-17T13:20:06.000,36.56,319.55,27.82,-23.72
2019-04-17T13:22:06.000,38.60,173.77,-38.37,4.19
2019-04-17T13:24:06.000,35.69,60.19,17.74,30.97
2019-04-17T13:26:06.000,36.04,319.67,27.47,-23.32
2019-04-17T13:28:06.000,36.99,220.55,-28.11,-24.04
2019-04-17T13:30:06.000,35.43,74.92,9.22,34.21
2019-04-17T13:32:06.000,35.78,322.59,28.42,-21.74
2019-04-17T13:34:06.000,37.85,249.71,-13.13,-35.50
2019-04-17T13:36:06.000,36.47,81.72,5.25,36.09
2019-04-17T13:38:06.000,37.16,314.20,25.91,-26.64
2019-04-17T13:40:06.000,38.39,159.93,-36.06,13.17
2019-04-17T13:42:06.000,34.57,78.74,6.75,33.90
2019-04-17T13:44:06.000,36.73,328.10,31.18,-19.41
2019-04-17T13:46:06.000,36.38,230.27,-23.26,-27.98
2019-04-17T13:48:06.000,35.60,66.70,14.08,32.70
2019-04-17T13:50:06.000,34.31,329.92,29.69,-17.20
2019-04-17T13:52:06.000,35.08,46.03,24.36,25.25
2019-04-17T13:54:06.000,33.22,184.87,-33.10,-2.82
2019-04-17T13:56:06.000,38.17,17.11,36.48,11.23
2019-04-17T13:58:06.000,37.42,305.29,21.62,-30.54
2019-04-17T14:00:06.000,35.43,76.56,8.23,34.46
2019-04-17T14:02:06.000,36.38,85.19,3.05,36.25
2019-04-17T14:04:06.000,34.74,182.30,-34.71,-1.39
2019-04-17T14:06:06.000,35.86,300.74,18.33,-30.82
2019-04-17T14:08:06.000,34.83,35.12,28.48,20.04
2019-04-17T14:10:06.000,34.65,6.37,34.44,3.85
2019-04-17T14:12:06.000,33.59,43.29,24.45,23.03
2019-04-17T14:14:06.000,35.86,257.40,-7.82,-35.00
2019-04-17T14:16:06.000,37.33,301.67,19.60,-31.77
2019-04-17T14:18:06.000,38.06,3.79,37.98,2.51
2019-04-17T14:20:06.000,36.30,72.50,10.91,34.62
2019-04-17T14:22:06.000,34.05,48.10,22.74,25.34
2019-04-17T14:24:06.000,35.08,247.37,-13.50,-32.38
2019-04-17T14:26:06.000,34.22,252.40,-10.35,-32.62
2019-04-17T14:28:06.000,34.39,303.62,19.04,-28.64
2019-04-17T14:30:06.000,34.91,333.82,31.33,-15.40
2019-04-17T14:32:06.000,35.95,39.72,27.65,22.97
2019-04-17T14:34:06.000,36.30,77.17,8.06,35.39
2019-04-17T14:36:06.000,36.04,172.45,-35.72,4.74
2019-04-17T14:38:06.000,39.57,53.73,23.41,31.90
2019-04-17T14:40:06.000,36.12,351.32,35.71,-5.45
2019-04-17T14:42:06.000,35.26,85.49,2.77,35.15
2019-04-17T14:44:06.000,36.47,295.64,15.78,-32.88
2019-04-17T14:46:06.000,36.30,32.52,30.60,19.51
2019-04-17T14:48:06.000,36.64,28.68,32.15,17.59
2019-04-17T14:50:06.000,36.56,54.09,21.44,29.61
2019-04-17T14:52:06.000,35.08,321.38,27.41,-21.90
2019-04-17T14:54:06.000,35.00,26.29,31.38,15.50
2019-04-17T14:56:06.000,36.64,335.30,33.29,-15.31
2019-04-17T14:58:06.000,34.22,129.51,-21.77,26.40
2019-04-17T15:00:06.000,34.83,32.81,29.27,18.87
2019-04-17T15:02:06.000,37.07,268.14,-1.20,-37.05
2019-04-17T15:04:06.000,36.64,314.65,25.75,-26.07
2019-04-17T15:06:06.000,35.60,317.65,26.31,-23.98
2019-04-17T15:08:06.000,35.69,315.00,25.24,-25.24
2019-04-17T15:10:06.000,34.74,121.28,-18.04,29.69
2019-04-17T15:12:06.000,34.83,263.85,-3.73,-34.62
2019-04-17T15:14:06.000,36.38,243.72,-16.11,-32.62
2019-04-17T15:16:06.000,62.54,285.13,16.32,-60.38
2019-04-17T15:18:06.000,116.70,82.72,14.79,115.76
2019-04-17T15:20:06.000,30.24,59.75,15.24,26.13
2019-04-17T15:22:06.000,33.44,72.80,9.89,31.94
2019-04-17T15:24:06.000,32.55,59.47,16.53,28.04
2019-04-17T15:26:06.000,35.34,59.46,17.96,30.44
2019-04-17T15:28:06.000,33.44,60.50,16.47,29.10
